time,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d
2025-03-31,1009.05,1020.34,1007.31,1011.51,117166300,VNREAL,968.2949999999998,925.8341666666666,925.8341666666666,82.52938814976842,32.6540156673733,30.680818416773317,1.9731972505999842,1041.7908013838382,894.7991986161614,-0.18453097554718134,0.9954373675143322
2025-04-01,1016.97,1037.37,1016.39,1030.94,78143800,VNREAL,974.5135,928.6748648648648,928.6748648648648,85.80144983059682,33.40362702301343,31.22538013802134,2.178246884992088,1047.059356938542,901.9676430614583,1.9208905497721362,1.026588027351513
2025-04-02,1035.79,1039.54,1028.29,1031.07,102754000,VNREAL,980.835,931.3694736842106,931.3694736842106,85.82058476257735,33.6206316233239,31.704430435081854,1.9162011882420487,1049.6840123768175,911.9859876231826,0.01260985120374869,1.0178151165805402
2025-04-03,990.77,1002.26,961.71,961.85,170340000,VNREAL,983.2834999999999,932.1510256410256,932.1510256410256,48.410173254280444,27.885685009626172,30.94068134999072,-3.0549963403645464,1045.0786302032943,921.4883697967056,-6.7134142201790254,1.9344172568425957
2025-04-04,946.6,955.62,905.94,953.21,212573200,VNREAL,984.309,932.6775,932.6775,45.73054689033889,22.38547686488141,29.22964045296886,-6.844163588087447,1043.181248810454,925.4367511895459,-0.8982689608566852,1.8978861395511641
2025-04-08,921.22,923.87,890.61,895.29,106746800,VNREAL,981.9795,931.7656097560975,931.7656097560975,32.6737621883526,13.200692969541478,26.023850956283386,-12.823157986741908,1050.771870897391,913.187129102609,-6.076310571647392,2.336018662585772
2025-04-09,890.02,899.92,855.32,889.08,174431100,VNREAL,979.2455,930.7492857142857,930.7492857142857,31.63098785363475,5.358817348183493,21.890844234663412,-16.53202688647992,1058.0509843068812,900.4400156931188,-0.693629996984213,2.3359796239283845
2025-04-10,947.37,948.53,946.93,948.52,46350500,VNREAL,979.1139999999999,931.1625581395348,931.1625581395348,48.55508553252491,3.895480979903823,18.291771583711494,-14.396290603807671,1058.125390358073,900.102609641927,6.685562604040118,2.8024740851363292
2025-04-11,943.24,987.86,938.24,987.01,223921100,VNREAL,980.2085000000001,932.4318181818181,932.4318181818181,56.128362748722104,5.775026777064795,15.788422622382155,-10.01339584531736,1059.0098561932455,901.4071438067547,4.057900729557629,2.9296492856480616
2025-04-14,1002.31,1031.88,996.78,1030.47,123160700,VNREAL,983.2185000000002,934.6104444444445,934.6104444444445,62.78930515835066,10.64868770900489,14.760475639706703,-4.111787930701814,1064.9653465253684,901.4716534746319,4.403197535992542,3.0800065887576435
2025-04-15,1029.65,1055.24,1021.92,1021.92,134161100,VNREAL,985.3084999999999,936.5084782608695,936.5084782608695,60.832495665525094,13.663679177516315,14.541116347268627,-0.8774371697523122,1068.8396996612169,901.7773003387829,-0.8297184779760713,3.0865546203504746
2025-04-16,1021.61,1030.25,989.3,998.62,115609000,VNREAL,986.8459999999999,937.83,937.83,55.73490859747078,14.011451078173309,14.435183293449564,-0.4237322152762548,1070.1574105788131,903.5345894211868,-2.2800219195240334,3.1213805607986456
2025-04-17,988.76,1014.99,981.19,1014.99,90749200,VNREAL,989.0315,939.4375,939.4375,58.37409548011936,15.4301162302188,14.634169880803412,0.795946349415388,1072.9148953269594,905.1481046730406,1.6392621818108966,3.1378419906715145
2025-04-18,1022.3,1023.57,981.72,986.9,110214000,VNREAL,990.0200000000001,940.4061224489797,940.4061224489797,52.58082365195849,14.124966520508337,14.532329208744398,-0.40736268823606103,1073.2803260547114,906.7596739452888,-2.7675149508862185,3.2079601986248822
2025-04-21,987.08,995.21,955.21,965.81,89110700,VNREAL,989.4619999999999,940.9141999999999,940.9141999999999,48.67494508805977,11.259051887310534,13.877673744457626,-2.618621857147092,1073.2385616261179,905.6854383738819,-2.136994629648392,3.240466114758206
2025-04-22,963.67,966.37,912.94,952.66,169315900,VNREAL,986.6600000000001,942.965,941.1445098039217,46.36239539011896,7.836366042072314,12.669412203980563,-4.83304616190825,1071.469626812055,901.8503731879453,-1.3615514438657716,3.1596739578861213
2025-04-23,958.94,974.51,952.5,970.69,128634800,VNREAL,984.412,945.3692,941.7126923076922,49.87851917043052,6.503761849454577,11.436282133075366,-4.932520283620789,1068.365303461539,900.458696538461,1.8925954695274472,3.1895760177872643
2025-04-24,973.45,1011.4,971.41,1009.27,99099800,VNREAL,984.2275,948.5388,942.9873584905661,56.45619330395113,8.463188629033766,10.841663432267046,-2.3784748032332796,1067.9324927140738,900.522507285926,3.974492371405902,3.32160861884911
2025-04-25,1009.24,1032.52,1009.24,1032.52,88911600,VNREAL,985.2855,952.1030000000001,944.6453703703703,59.873798762477165,11.756606320965943,11.024652010006825,0.731954310959118,1070.946525093096,899.6244749069041,2.303645208913374,3.359499521777583
2025-04-28,1032.64,1035.89,1019.38,1019.38,70231200,VNREAL,985.5854999999999,955.336,946.0041818181819,57.14404422893684,13.15473577964815,11.450668763935091,1.7040670157130577,1071.7016239196664,899.4693760803333,-1.2726145740518335,3.374620861995155
2025-04-29,1015.14,1024.67,993.35,1023.2,89721000,VNREAL,986.1700000000001,958.6394,947.3826785714285,57.747152720997406,14.404954178562775,12.04152584686063,2.3634283317021456,1073.181040315825,899.1589596841751,0.37473758559125603,3.3745976800993507
2025-05-05,1023.2,1049.31,1031.08,1054.26,67982338,VNREAL,987.3359999999999,962.4744000000001,949.2577192982457,62.38263952515434,17.698031793911014,13.172827036270707,4.5252047576403065,1077.4430468416667,897.2289531583332,3.03557466770914,3.415012768018716
2025-05-06,1062.37,1064.62,1013.52,1056.19,92674424,VNREAL,988.592,966.0834,951.1013793103448,62.65679160087248,20.230351500592406,14.584331929135049,5.646019571457357,1081.9089351359007,895.2750648640992,0.18306679566710837,3.4148186232529723
2025-05-07,1056.19,1087.51,1052.74,1085.61,110362133,VNREAL,994.78,970.125,953.3811864406779,66.64710329412503,24.330711937444107,16.53360793079686,7.7971040066472455,1096.6517152005144,892.9082847994854,2.785483672445288,3.046936912363552
2025-05-08,1085.61,1117.54,917.77,1115.03,99809083,VNREAL,1002.8710000000001,974.8545999999999,956.0753333333333,70.08909222742801,29.61286655962226,19.149459656561945,10.463406903060317,1115.9312840407208,889.8107159592794,2.7099971444625615,3.0571858529652927
2025-05-09,1115.03,1139.84,876.07,1105.12,90878261,VNREAL,1013.3625,979.3362,958.5186885245902,67.55990707171625,32.62329691535001,21.844227108319558,10.779069807030453,1123.2880606260317,903.4369393739682,-0.8887653246997917,2.630576579121026
2025-05-12,1105.12,1125.82,961.96,1123.23,78944544,VNREAL,1025.07,984.133,961.1753225806452,69.71093262417797,36.054793098152686,24.686340306286187,11.368452791866499,1128.973450933015,921.1665490669848,1.6387360648617566,2.598816316605611
2025-05-13,1123.23,1134.3,988.43,1128.14,95030589,VNREAL,1034.051,989.0440000000001,963.8255555555556,70.28619955244935,38.72408733712177,27.493889712453306,11.230197624668467,1141.098465104332,927.0035348956678,0.43713219910437306,2.2589401437123233
2025-05-14,1128.14,1140.35,1118.14,1121.67,97219945,VNREAL,1040.784,993.6511999999999,966.291875,68.44156264066463,39.857989235606055,29.966709617083858,9.891279618522198,1152.2229865446798,929.3450134553204,-0.5735103799173857,2.152512050485991
2025-05-15,1121.67,1123.19,965.16,1107.52,114502895,VNREAL,1044.6365,997.8792,968.4646153846153,64.45728421725867,39.16337688557974,31.806043070783033,7.357333814796704,1159.837977197218,929.4350228027822,-1.2615118528622626,2.001935526497219
2025-05-16,1107.52,1115.47,1099.35,1109.28,101372690,VNREAL,1049.0045,1001.9070000000002,970.5981818181817,64.73229383848613,38.313257501535645,33.10748595693356,5.2057715446020865,1167.1660405371194,930.8429594628806,0.15891360878359517,1.9826021285534308
2025-05-19,1109.28,1146.79,1105.03,1139.89,103651010,VNREAL,1056.068,1006.5734000000001,973.1249253731344,69.19639627857559,39.652414593791036,34.41647168430506,5.235942909485978,1178.3652448973146,933.7707551026854,2.7594475695946974,1.9398896647538169
2025-05-20,1139.89,1189.6,1139.89,1189.47,102898794,VNREAL,1064.792,1012.27,976.3064705882352,74.76754047961029,44.20483209235249,36.374143765914546,7.830688326437944,1199.0583923305967,930.525607669403,4.349542499714887,2.0984962575642694
2025-05-21,1189.47,1238.91,1189.26,1214.32,98653970,VNREAL,1076.163,1018.2987999999999,979.7559420289856,77.01170262550858,49.25011837079978,38.94933868689159,10.300779683908189,1220.7756738421967,931.5503261578033,2.0891657629027893,1.9366261670452891
2025-05-22,1214.32,1248.18,1203.89,1206.78,100964531,VNREAL,1088.2115,1023.7804000000001,982.9991428571429,74.83680158236784,52.040241598975626,41.567519269308406,10.47272232966722,1234.258075018851,942.1649249811487,-0.6209236445088528,1.8317387469549486
2025-05-23,1206.78,1229.34,1198.35,1212.3,74425454,VNREAL,1101.1934999999999,1029.1888,986.2287323943663,75.3848731464175,54.073526275193444,44.06872067048541,10.004805604708032,1242.5915644957984,959.7954355042014,0.45741560184955343,1.744291529311008
2025-05-26,1212.3,1249.23,1164.92,1248.33,126999581,VNREAL,1115.0755,1035.2802000000001,989.8690277777777,78.65312556361945,57.92452109245619,46.83988075487957,11.084640337576616,1257.0410241284048,973.109975871595,2.9720366245978624,1.782269077925253
2025-05-27,1248.33,1262.43,1228.79,1261.9,160540789,VNREAL,1127.707,1041.4952,993.5954794520549,79.74398261383254,61.36408089410111,49.74472078272388,11.619360111377226,1274.8939787003847,980.5200212996155,1.087052301875313,1.665702556667724
2025-05-28,1261.9,1286.12,1252.77,1280.31,126131684,VNREAL,1140.0965,1047.799,997.47,81.15124427959351,64.8281909279358,52.761414811766265,12.066776116169528,1295.057376729716,985.1356232702842,1.4589111657024922,1.645125543791839
2025-05-29,1280.31,1298.14,1274.11,1294.97,136461914,VNREAL,1153.876,1054.2930000000001,1001.4366666666666,82.21107237855165,67.97291313760184,55.80371447693338,12.169198660668457,1312.605815777762,995.146184222238,1.1450351867906994,1.54803506646371
2025-05-30,1294.97,1303.81,1285.68,1298.2,105517532,VNREAL,1167.626,1060.6545999999998,1005.341447368421,82.44527939455095,69.91977055956136,58.62692569345897,11.292844866102385,1326.3372130685302,1008.9147869314697,0.24942662764388945,1.5518632906180614
2025-06-02,1298.2,1312.14,1272.15,1301.25,168049699,VNREAL,1179.9755,1067.3222,1009.1844155844155,82.67720573778587,70.89158454474818,61.07985746371682,9.811727081031364,1339.9769828187875,1019.9740171812125,0.23494068710521177,1.5039487611143085
2025-06-03,1301.25,1309.55,1286.63,1304.48,125836775,VNREAL,1192.3899999999999,1073.9862,1012.9702564102563,82.93434388783712,71.10275978049594,63.08443792707264,8.018321853423302,1350.4695124379873,1034.3104875620124,0.24822286263208593,1.5019989422400655
2025-06-04,1304.48,1307.6,1292.77,1305.78,161040443,VNREAL,1203.3985,1080.7592,1016.6767088607596,83.04344063846678,70.56162630673134,64.57987560300438,5.981750703726959,1360.8318345661962,1045.9651654338038,0.09965656813442081,1.46020698586715
2025-06-05,1305.78,1307.77,1281.63,1301.63,126975410,VNREAL,1212.7285,1087.2523999999999,1020.238625,81.25760183919537,69.00248610584185,65.46439770357188,3.5380884022699775,1370.2283200533652,1055.2286799466347,-0.3178177028289486,1.423262682508462
2025-06-06,1301.63,1302.24,1269.2,1286.04,131037910,VNREAL,1221.7745,1092.7992,1023.5201234567902,74.75399844836625,65.75093767373937,65.52170569760538,0.22923197613398827,1373.9432447643512,1069.6057552356488,-1.1977290013291175,1.4439259623919456
