time,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d
2025-06-19,470.68,471.98,464.99,469.97,54875000,HNX30,462.341,436.4753094,460.87545255555557,60.73928710566925,8.238215499171474,8.441995136423358,-0.20377963725188408,488.0327122823697,436.64928771763033,-0.15084558511090362,1.2801387972317053
2025-06-20,469.97,473.68,466.3,468.54,41796900,HNX30,464.40650000000005,438.00127060000005,460.9596783516484,59.23038344858416,7.784973736424263,8.31059085642354,-0.5256171199992767,484.1715614389199,444.6414385610802,-0.304274740940913,1.2758623146104506
2025-06-23,468.54,471.86,465.62,471.29,61847500,HNX30,465.99449999999996,440.0544926,461.07196445652175,61.2252863404662,7.560525361207169,8.160577757380265,-0.6000523961730959,482.1107310795853,449.8782689204146,0.5869296111324473,1.1442619147294497
2025-06-24,471.29,474.32,469.17,470.29,78290200,HNX30,467.1205,441.3853566,461.1710831182796,60.074155220329324,7.218743581635863,7.972210922231385,-0.7534673405955221,480.8447980455167,453.3962019544833,-0.2121835812344819,1.0924221251919903
2025-06-25,470.29,472.75,467.56,468.87,49410700,HNX30,467.8965,442.411337,461.25298648936166,58.39518107948612,6.755424596710952,7.728853657127299,-0.9734290604163469,480.0020294455866,455.79097055441343,-0.3019413553339456,1.0728892569302064
2025-06-26,468.87,471.02,464.71,468.75,43518320,HNX30,468.51849999999996,443.29104099999995,461.33190242105263,58.24702901818935,6.305867846735964,7.444256495049032,-1.138388648313068,479.3261683789586,457.71083162104134,-0.025593448077287917,1.0676590349649118
2025-06-27,468.75,472.87,466.6,468.11,44423200,HNX30,469.24800000000005,444.40164059999995,461.40250760416666,57.4104536394256,5.830735146935297,7.121552225426286,-1.2908170784909894,477.44807085977516,461.04792914022494,-0.13653333333333295,1.0552780428309005
2025-06-30,468.11,473.22,468.11,472.18,44089141,HNX30,469.60300000000007,445.61957779999995,461.51361577319585,61.22451485517752,5.716705423194753,6.84058286497998,-1.1238774417852264,477.65675910923244,461.5492408907677,0.8694537608681774,0.9126661344977129
2025-07-01,472.18,474.66,468.08,469.75,48560659,HNX30,469.467,446.7160854,461.5976605102041,57.89107366968059,5.368372102051069,6.546140712394198,-1.1777686103431293,477.407985223249,461.52601477675097,-0.5146342496505585,0.8485396019847068
2025-07-02,469.75,481.34,468.76,480.66,70216800,HNX30,469.7685,447.8748182,461.79020939393945,66.66623283331187,5.904596741017713,6.417831918118901,-0.5132351771011887,478.9030504311388,460.6339495688612,2.3225119744544998,0.994364265019911
2025-07-03,480.66,483.66,473.08,477.48,98141400,HNX30,469.7375,449.0045366,461.94710729999997,62.57310248157477,6.003751694726418,6.335015873440405,-0.3312641787139867,478.7564761935054,460.7185238064946,-0.6615903133191825,0.9942340742791467
2025-07-04,477.48,482.42,477.39,479.08,58495300,HNX30,470.12600000000003,450.4015632,462.1167399009901,63.778132979999675,6.140653704672218,6.296143439686768,-0.15548973501454988,480.05379277955353,460.19820722044653,0.3350925693222706,0.9383413079419504
2025-07-07,479.08,487.42,479.08,487.38,93722500,HNX30,471.1875,451.8196432000001,462.3644189215686,69.3001016827767,6.840042416684867,6.404923235086388,0.43511918159847873,483.5633795540727,458.8116204459273,1.7324872672622504,0.9637228656089301
2025-07-08,487.38,494.04,486.06,492.09,68004300,HNX30,472.60200000000003,453.3619952,462.6530167961165,71.91648885789807,7.685773830179755,6.661093354105062,1.0246804760746935,487.6096788766029,457.59432112339715,0.9663917271943712,0.9610744986293283
2025-07-09,492.09,497.81,491.02,492.65,106156700,HNX30,474.084,454.947046,462.94144932692313,72.21963691936782,8.305469110494244,6.989968505382898,1.3155006051113451,490.8538594288454,457.3141405711546,0.11380032107948246,0.9558289828306531
2025-07-10,492.65,497.86,491.38,493.46,72332004,HNX30,475.43999999999994,456.55092599999995,463.2321021904762,72.6790265992313,8.76095151973783,7.344165108253885,1.4167864114839448,493.8763428272036,457.0036571727963,0.16441692885416082,0.951522612481651
2025-07-11,493.46,496.91,489.31,493.17,91717800,HNX30,477.01149999999996,458.16880000000003,463.51453518867925,72.21856877524024,8.994837150686692,7.674299516740447,1.3205376339462447,495.88386718480155,458.13913281519837,-0.05876869452436928,0.9077716372564328
2025-07-14,493.17,499.49,488.08,497.63,93012400,HNX30,478.23400000000004,459.77380000000005,463.8333713084112,74.85685493914625,9.431359087747012,8.025711430941762,1.4056476568052503,499.121375587839,457.3466244121611,0.9043534683780496,0.7699114415525339
