Mã CK,Tên công ty,Ngành cấp 1,Ngành cấp 2,Ngành cấp 3,Sàn,Ngày GDĐT,Khối lượng NY/ĐKGD
VIE,CTCP Công nghệ Viễn thông VITECO,Công nghệ và thông tin,Viễn thông,Các loại hình viễn thông khác,HNX,6/5/2011,"2,061,244"
ECI,CTCP Bản đồ và Tranh ảnh Giáo dục,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,16/06/2009,"1,860,000"
DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,28/12/2006,"1,498,680"
BDB,CTCP Sách và Thiết bị Bình Định,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,29/01/2010,"1,126,474"
BST,CTCP Sách và Thiết bị Bình Thuận,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,18/12/2008,"1,100,000"
LBE,CTCP Sách và Thiết bị Trường học Long An,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,22/02/2008,"1,100,000"
HEV,CTCP Sách Đại học Dạy nghề,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,11/12/2007,"1,000,000"
TV4,CTCP Tư vấn Xây dựng Điện 4,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ tư vấn xây dựng,HNX,22/07/2008,"17,726,869"
VNC,CTCP Tập đoàn Vinacontrol,"Dịch vụ chuyên môn, khoa học và công nghệ","Các dịch vụ chuyên môn, khoa học và kỹ thuật khác","Các dịch vụ chuyên môn, khoa học và kỹ thuật khác",HNX,21/12/2006,"10,499,955"
TV3,CTCP Tư vấn Xây dựng Điện 3,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ tư vấn xây dựng,HNX,1/12/2009,"8,276,080"
SDC,CTCP Tư vấn Sông Đà,"Dịch vụ chuyên môn, khoa học và công nghệ",Dịch vụ thiết kế chuyên biệt,Dịch vụ thiết kế công nghiệp,HNX,25/12/2006,"2,609,710"
PPE,CTCP Tư vấn Điện lực Dầu khí Việt Nam,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ tư vấn xây dựng,HNX,21/09/2011,"2,000,000"
INC,CTCP Tư vấn Đầu tư IDICO,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ tư vấn xây dựng,HNX,14/07/2011,"1,800,000"
VLA,CTCP Đầu tư và Phát triển Công nghệ Văn Lang,"Dịch vụ chuyên môn, khoa học và công nghệ",Thiết kế hệ thống máy tính và dịch vụ liên quan,Dịch vụ lập trình máy tính,HNX,4/8/2010,"1,080,000"
SDA,CTCP Simco Sông Đà,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định…) và xử lý rác thải",Dịch vụ hành chính và hỗ trợ,Dịch vụ việc làm,HNX,21/12/2006,"26,206,158"
TTT,CTCP Du lịch - Thương mại Tây Ninh,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định…) và xử lý rác thải",Dịch vụ hành chính và hỗ trợ,Các dịch vụ hỗ trợ khác,HNX,2/6/2017,"4,570,210"
VCM,CTCP Nhân lực và Thương mại Vinaconex,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định…) và xử lý rác thải",Dịch vụ hành chính và hỗ trợ,Dịch vụ việc làm,HNX,11/5/2010,"3,000,000"
OCH,CTCP Khách sạn và Dịch vụ OCH,Dịch vụ lưu trú và ăn uống,Khách sạn và phòng ở,Chỗ ở cho khách du lịch,HNX,1/10/2010,"200,000,000"
PDC,CTCP Du lịch Dầu khí Phương Đông,Dịch vụ lưu trú và ăn uống,Khách sạn và phòng ở,Chỗ ở cho khách du lịch,HNX,29/09/2009,"15,000,000"
SGH,CTCP Khách sạn Sài Gòn,Dịch vụ lưu trú và ăn uống,Khách sạn và phòng ở,Chỗ ở cho khách du lịch,HNX,30/07/2009,"12,364,100"
ATS,CTCP Tập Đoàn Dược Phẩm Atesco,Dịch vụ lưu trú và ăn uống,Dịch vụ ăn uống,Nhà hàng đầy đủ dịch vụ,HNX,29/03/2016,"3,500,000"
PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Khai khoáng,Các hoạt động hỗ trợ Khai khoáng,Các hoạt động hỗ trợ cho khai thác dầu và khí đốt,HNX,20/09/2007,"477,966,290"
