Mã CK,Tên công ty,Ngành cấp 1,Ngành cấp 2,Ngành cấp 3,Sàn,Ngày GDĐT,Khối lượng NY/ĐKGD
PLX,Tập đoàn Xăng Dầu Việt Nam,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,HOSE,21/04/2017,"1,293,878,081"
HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,Bán buôn,Bán buôn hàng lâu bền,Bán buôn xe cơ giới và phụ tùng xe cơ giới,HOSE,15/02/2012,"321,448,153"
HAI,CTCP Nông dược H.A.I,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn hóa chất và các sản phẩm liên quan,HOSE,20/04/2010,"182,682,799"
TSC,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn hóa chất và các sản phẩm liên quan,HOSE,4/10/2007,"147,648,084"
PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,HOSE,24/06/2020,"126,196,780"
JVC,CTCP Thiết bị Y tế Việt Nhật,Bán buôn,Bán buôn hàng lâu bền,"Bán buôn các thiết bị, vật tư chuyên môn và thương mại",HOSE,21/06/2011,"112,500,171"
TLH,CTCP Tập đoàn Thép Tiến Lên,Bán buôn,Bán buôn hàng lâu bền,Bán buôn kim loại và khoáng sản (trừ dầu khí),HOSE,16/03/2010,"102,110,621"
PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,Bán buôn,Bán buôn hàng lâu bền,"Bán buôn các mặt hàng điện, điện tử",HOSE,12/9/2007,"90,450,124"
DGW,CTCP Thế Giới Số,Bán buôn,Bán buôn hàng lâu bền,"Bán buôn các mặt hàng điện, điện tử",HOSE,3/8/2015,"88,552,025"
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,HOSE,18/03/2020,"80,000,000"
SGT,CTCP Công nghệ Viễn Thông Sài Gòn,Bán buôn,Bán buôn hàng lâu bền,"Bán buôn các thiết bị, vật tư chuyên môn và thương mại",HOSE,18/01/2008,"74,001,914"
QBS,CTCP Xuất nhập khẩu Quảng Bình,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn hóa chất và các sản phẩm liên quan,HOSE,13/11/2014,"69,329,928"
AAT,CTCP Tiên Sơn Thanh Hóa,Bán buôn,Bán buôn hàng tiêu dùng,"Bán buôn quần áo, vải và vật tư liên quan",HOSE,24/03/2021,"63,801,489"
SMC,CTCP Đầu tư Thương mại SMC,Bán buôn,Bán buôn hàng lâu bền,Bán buôn kim loại và khoáng sản (trừ dầu khí),HOSE,30/10/2006,"60,994,691"
TNI,CTCP Tập đoàn Thành Nam,Bán buôn,Bán buôn hàng lâu bền,"Bán buôn máy móc, thiết bị và vật tư",HOSE,23/03/2017,"52,500,000"
TTB,CTCP Tập đoàn Tiến Bộ,Bán buôn,Bán buôn hàng lâu bền,Bán buôn kim loại và khoáng sản (trừ dầu khí),HOSE,17/08/2018,"51,509,583"
TNA,CTCP Thương mại Xuất nhập khẩu Thiên Nam,Bán buôn,Bán buôn hàng lâu bền,Bán buôn kim loại và khoáng sản (trừ dầu khí),HOSE,20/07/2005,"49,576,264"
PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,HOSE,25/01/2018,"46,336,278"
VPG,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Bán buôn,Bán buôn hàng lâu bền,Bán buôn kim loại và khoáng sản (trừ dầu khí),HOSE,18/01/2018,"43,119,688"
VID,CTCP Đầu tư Phát triển Thương mại Viễn Đông,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn giấy và các sản phẩm từ giấy,HOSE,25/12/2006,"35,510,789"
VFG,CTCP Khử trùng Việt Nam,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn hóa chất và các sản phẩm liên quan,HOSE,17/12/2009,"32,088,864"
ST8,CTCP Siêu Thanh,Bán buôn,Bán buôn hàng lâu bền,Bán buôn xe cơ giới và phụ tùng xe cơ giới,HOSE,18/12/2007,"25,720,902"
HMC,CTCP Kim khí Thành phố Hồ Chí Minh,Bán buôn,Bán buôn hàng lâu bền,Bán buôn kim loại và khoáng sản (trừ dầu khí),HOSE,21/12/2006,"21,000,000"
SMA,CTCP Thiết bị Phụ tùng Sài Gòn,Bán buôn,Bán buôn hàng lâu bền,"Bán buôn máy móc, thiết bị và vật tư",HOSE,19/10/2010,"20,352,836"
TDG,CTCP Đầu tư TDG GLOBAL,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,HOSE,15/06/2017,"16,770,000"
VMD,CTCP Y Dược phẩm Vimedimex,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dược phẩm và tạp hóa dược,HOSE,30/09/2010,"15,440,268"
PIT,CTCP Xuất nhập khẩu Petrolimex,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,HOSE,24/01/2008,"15,199,345"
DBT,CTCP Dược phẩm Bến Tre,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dược phẩm và tạp hóa dược,HOSE,28/10/2020,"14,205,116"
HTL,CTCP Kỹ thuật và Ôtô Trường Long,Bán buôn,Bán buôn hàng lâu bền,Bán buôn xe cơ giới và phụ tùng xe cơ giới,HOSE,10/1/2011,"12,000,000"
DXV,CTCP VICEM Vật liệu Xây dựng Đà Nẵng,Bán buôn,Bán buôn hàng lâu bền,Bán buôn gỗ xẻ và vật liệu xây dựng khác,HOSE,26/02/2008,"9,900,000"
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Cửa hàng thiết bị điện tử gia đình,Cửa hàng máy tính và phần mềm,HOSE,14/07/2014,"713,065,495"
VGC,Tổng Công ty Viglacera - CTCP,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",Kinh doanh vật liệu xây dựng và vật tư liên quan,HOSE,29/05/2019,"448,350,000"
AMD,CTCP Đầu tư và Khoáng sản FLC Stone,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",Kinh doanh vật liệu xây dựng và vật tư liên quan,HOSE,11/11/2014,"163,504,874"
FRT,CTCP Bán lẻ Kỹ thuật số FPT,Bán lẻ,Cửa hàng thiết bị điện tử gia đình,Cửa hàng máy tính và phần mềm,HOSE,26/04/2018,"78,981,792"
CTF,CTCP City Auto,Bán lẻ,Bán lẻ xe hơi và phụ tùng,"Cửa hàng phụ tùng xe hơi, phụ kiện và săm lốp",HOSE,30/05/2017,"72,397,776"
HAX,CTCP Dịch vụ Ô tô Hàng Xanh,Bán lẻ,Bán lẻ xe hơi và phụ tùng,Bán lẻ xe hơi,HOSE,26/12/2006,"49,516,982"
AST,CTCP Dịch vụ Hàng không Taseco,Bán lẻ,Của hàng hàng hóa tổng hợp,Cửa hàng tổng hợp,HOSE,4/1/2018,"45,000,000"
SVC,CTCP Dịch vụ Tổng hợp Sài Gòn,Bán lẻ,Bán lẻ xe hơi và phụ tùng,Bán lẻ xe hơi,HOSE,1/6/2009,"33,320,532"
CMV,CTCP Thương nghiệp Cà Mau,Bán lẻ,Của hàng hàng hóa tổng hợp,Cửa hàng tổng hợp,HOSE,21/06/2010,"18,155,868"
CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Bán lẻ,Trạm xăng,Trạm xăng có cửa hàng tiện lợi,HOSE,15/04/2010,"17,743,865"
COM,CTCP Vật tư Xăng Dầu,Bán lẻ,Trạm xăng,Trạm xăng có cửa hàng tiện lợi,HOSE,7/8/2006,"14,120,628"
BTT,CTCP Thương mại Dịch vụ Bến Thành,Bán lẻ,Của hàng hàng hóa tổng hợp,Cửa hàng tổng hợp,HOSE,14/04/2010,"13,500,000"
SFC,CTCP Nhiên liệu Sài Gòn,Bán lẻ,Trạm xăng,Trạm xăng có cửa hàng tiện lợi,HOSE,21/09/2004,"11,291,459"
PNC,CTCP Văn hóa Phương Nam,Bán lẻ,Bán lẻ hàng hóa khác,"Cửa hàng dụng cụ, văn phòng phẩm và quà tặng",HOSE,11/7/2005,"11,040,241"
NAV,CTCP Nam Việt,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",Kinh doanh vật liệu xây dựng và vật tư liên quan,HOSE,22/12/2006,"8,000,000"
TNH,CTCP Bệnh viện Quốc tế Thái Nguyên,Chăm sóc sức khỏe và hoạt động trợ giúp xã hội,Dịch vụ chăm sóc sức khỏe ngoại trú,Các dịch vụ chăm sóc sức khỏe khác,HOSE,6/1/2021,"41,500,000"
FPT,CTCP FPT,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,Sản xuất phần mềm,HOSE,13/12/2006,"907,551,649"
CMG,CTCP Tập đoàn Công nghệ CMC,Công nghệ và thông tin,Các dịch vụ thông tin khác,Các dịch vụ thông tin khác,HOSE,22/01/2010,"99,999,866"
CTR,Tổng Công ty cổ phần Công trình Viettel,Công nghệ và thông tin,Viễn thông,Các loại hình viễn thông khác,HOSE,23/02/2022,"92,923,873"
ELC,CTCP Đầu tư Phát triển Công nghệ Điện tử - Viễn thông,Công nghệ và thông tin,Viễn thông,Các loại hình viễn thông khác,HOSE,13/10/2010,"50,928,243"
ICT,CTCP Viễn thông - Tin học Bưu điện,Công nghệ và thông tin,Viễn thông,Các loại hình viễn thông khác,HOSE,15/01/2020,"32,185,000"
ITD,CTCP Công nghệ Tiên Phong,Công nghệ và thông tin,Viễn thông,Các loại hình viễn thông khác,HOSE,20/12/2011,"19,064,798"
IBC,CTCP Đầu tư Apax Holdings,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ tư vấn quản lý, khoa học và kỹ thuật",Dịch vụ tư vấn quản lý,HOSE,15/12/2017,"83,150,661"
KPF,CTCP Đầu tư Tài chính Hoàng Minh,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ tư vấn xây dựng,HOSE,2/3/2016,"60,867,241"
TV2,CTCP Tư vấn Xây dựng Điện 2,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ tư vấn xây dựng,HOSE,6/6/2019,"45,018,141"
YEG,CTCP Tập đoàn Yeah1,"Dịch vụ chuyên môn, khoa học và công nghệ","Quảng cáo, quan hệ công chúng và dịch vụ liên quan",Các dịch vụ khác liên quan đến quảng cáo,HOSE,26/06/2018,"31,279,968"
ADG,CTCP Clever Group,"Dịch vụ chuyên môn, khoa học và công nghệ","Quảng cáo, quan hệ công chúng và dịch vụ liên quan",Các dịch vụ khác liên quan đến quảng cáo,HOSE,22/02/2021,"19,889,098"
VNG,CTCP Du lịch Thành Thành Công,Dịch vụ lưu trú và ăn uống,Khách sạn và phòng ở,Chỗ ở cho khách du lịch,HOSE,17/12/2009,"97,276,608"
NVT,CTCP Bất động sản Du lịch Ninh Vân Bay,Dịch vụ lưu trú và ăn uống,Khách sạn và phòng ở,Chỗ ở cho khách du lịch,HOSE,7/5/2010,"90,500,000"
DAH,CTCP Tập đoàn Khách sạn Đông Á,Dịch vụ lưu trú và ăn uống,Khách sạn và phòng ở,Chỗ ở cho khách du lịch,HOSE,10/10/2016,"34,200,000"
HOT,CTCP Du lịch Dịch vụ Hội An,Dịch vụ lưu trú và ăn uống,Khách sạn và phòng ở,Chỗ ở cho khách du lịch,HOSE,21/07/2011,"8,000,000"
PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,Khai khoáng,Các hoạt động hỗ trợ Khai khoáng,Khoan giếng dầu và khí đốt,HOSE,5/12/2006,"421,545,789"
KSB,CTCP Khoáng sản và Xây dựng Bình Dương,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác đá và khoáng sản phi kim,HOSE,20/01/2010,"73,631,202"
TNT,CTCP Tập đoàn TNT,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác quặng kim loại,HOSE,21/05/2010,"51,000,000"
DHM,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác quặng kim loại,HOSE,24/07/2012,"31,396,180"
LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác quặng kim loại,HOSE,16/09/2011,"24,633,000"
NNC,CTCP Đá Núi Nhỏ,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác đá và khoáng sản phi kim,HOSE,23/06/2010,"21,920,000"
DHA,CTCP Hóa An,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác đá và khoáng sản phi kim,HOSE,14/04/2004,"15,119,946"
C32,CTCP CIC39,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác đá và khoáng sản phi kim,HOSE,30/11/2012,"15,030,145"
BMC,CTCP Khoáng sản Bình Định,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác quặng kim loại,HOSE,28/12/2006,"12,392,630"
MDG,CTCP Miền Đông,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác đá và khoáng sản phi kim,HOSE,12/1/2011,"10,889,031"
RIC,CTCP Quốc tế Hoàng Gia,"Nghệ thuật, vui chơi và giải trí","Công nghiệp giải trí, đánh bạc và tiêu khiển",Cá cược và đánh bạc,HOSE,31/07/2007,"28,708,169"
DSN,CTCP Công viên nước Đầm Sen,"Nghệ thuật, vui chơi và giải trí","Công nghiệp giải trí, đánh bạc và tiêu khiển",Khu vui chơi giải trí,HOSE,26/10/2010,"12,083,009"
HPG,CTCP Tập đoàn Hòa Phát,Sản xuất,Sản xuất các sản phẩm kim loại cơ bản,Sản xuất sản phẩm thép từ nguyên liệu thu mua,HOSE,15/11/2007,"4,472,922,706"
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất nhựa, cao su tổng hợp, sợi tổng hợp nhân tạo",HOSE,17/03/2020,"4,000,000,000"
VNM,CTCP Sữa Việt Nam,Sản xuất,Sản xuất thực phẩm,Sản xuất sản phẩm sữa,HOSE,19/01/2006,"2,089,955,445"
MSN,CTCP Tập đoàn Masan,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,HOSE,5/11/2009,"1,180,534,692"
GEX,CTCP Tập đoàn GELEX,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",Sản xuất thiết bị điện,HOSE,18/01/2018,"851,495,793"
SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất đồ uống,HOSE,6/12/2016,"641,281,186"
SBT,CTCP Thành Thành Công - Biên Hòa,Sản xuất,Sản xuất thực phẩm,Sản xuất đường và bánh kẹo,HOSE,25/02/2008,"629,150,895"
DCM,CTCP Phân bón Dầu khí Cà Mau,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",HOSE,31/03/2015,"529,400,000"
HSG,CTCP Tập đoàn Hoa Sen,Sản xuất,Sản xuất các sản phẩm kim loại cơ bản,Sản xuất sản phẩm thép từ nguyên liệu thu mua,HOSE,5/12/2008,"493,481,896"
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",HOSE,5/11/2007,"391,400,000"
HT1,CTCP Xi măng Hà Tiên 1,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,HOSE,13/11/2007,"381,589,911"
SAM,CTCP SAM HOLDINGS,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",Sản xuất các thiết bị điện và dụng cụ khác,HOSE,28/07/2000,"349,997,190"
AAA,CTCP Nhựa An Phát Xanh,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HOSE,25/11/2016,"326,434,496"
TTF,CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành,Sản xuất,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,Sản xuất tủ bếp và nội thất hộ gia đình,HOSE,18/02/2008,"311,198,302"
DLG,CTCP Tập đoàn Đức Long Gia Lai,Sản xuất,"Sản xuất các sản phẩm điện tử, vi tính",Sản xuất linh kiện bán dẫn và các linh kiện điện tử khác,HOSE,22/06/2010,"299,309,720"
KDC,CTCP Tập đoàn KIDO,Sản xuất,Sản xuất thực phẩm,Sản xuất bánh và bánh mì các loại,HOSE,12/12/2005,"279,741,356"
POM,CTCP Thép Pomina,Sản xuất,Sản xuất các sản phẩm kim loại cơ bản,Sản xuất sản phẩm thép từ nguyên liệu thu mua,HOSE,20/04/2010,"279,676,336"
FIT,CTCP Tập đoàn F.I.T,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HOSE,19/08/2015,"262,730,247"
GTN,CTCP GTNFoods,Sản xuất,Sản xuất thực phẩm,Sản xuất sản phẩm sữa,HOSE,3/10/2014,"250,000,000"
BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất đồ uống,HOSE,19/01/2017,"231,800,000"
IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI,Sản xuất,Sản xuất thực phẩm,Sơ chế và đóng gói thủy sản,HOSE,30/06/2011,"227,644,608"
PNJ,CTCP Vàng bạc Đá quý Phú Nhuận,Sản xuất,Sản xuất sản phẩm kim loại tổng hợp,Sản xuất sản phẩm kim loại tổng hợp khác,HOSE,23/03/2009,"227,612,362"
NKG,CTCP Thép Nam Kim,Sản xuất,Sản xuất các sản phẩm kim loại cơ bản,Sản xuất sản phẩm thép từ nguyên liệu thu mua,HOSE,14/01/2011,"218,398,568"
PAN,CTCP Tập đoàn Pan,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,HOSE,15/12/2010,"216,358,580"
APH,CTCP Tập đoàn An Phát Holdings,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HOSE,28/07/2020,"195,107,442"
VHC,CTCP Vĩnh Hoàn,Sản xuất,Sản xuất thực phẩm,Sơ chế và đóng gói thủy sản,HOSE,24/12/2007,"183,376,956"
DGC,CTCP Tập đoàn Hóa chất Đức Giang,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất hóa chất cơ bản,HOSE,28/07/2020,"171,080,556"
SHI,CTCP Quốc tế Sơn Hà,Sản xuất,Sản xuất sản phẩm kim loại tổng hợp,Sản xuất sản phẩm kim loại tổng hợp khác,HOSE,30/12/2009,"150,187,913"
PHR,CTCP Cao su Phước Hòa,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất nhựa, cao su tổng hợp, sợi tổng hợp nhân tạo",HOSE,18/08/2009,"135,499,198"
DHG,CTCP Dược Hậu Giang,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HOSE,21/12/2006,"130,746,071"
ANV,CTCP Nam Việt,Sản xuất,Sản xuất thực phẩm,Sơ chế và đóng gói thủy sản,HOSE,7/12/2007,"127,539,625"
DRC,CTCP Cao su Đà Nẵng,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm cao su,HOSE,29/12/2006,"118,792,605"
DBC,CTCP Tập đoàn Dabaco Việt Nam,Sản xuất,Sản xuất thực phẩm,Giết mổ và chế biến thịt động vật,HOSE,26/07/2019,"115,239,430"
CSM,CTCP Công nghiệp Cao su Miền Nam,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm cao su,HOSE,11/8/2009,"103,626,467"
CMX,CTCP Camimex Group,Sản xuất,Sản xuất thực phẩm,Sơ chế và đóng gói thủy sản,HOSE,9/11/2010,"90,817,502"
BMP,CTCP Nhựa Bình Minh,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HOSE,11/7/2006,"81,860,938"
TLG,CTCP Tập đoàn Thiên Long,Sản xuất,Sản xuất khác,Sản xuất khác,HOSE,26/03/2010,"77,794,453"
VIS,CTCP Thép Việt Ý,Sản xuất,Sản xuất các sản phẩm kim loại cơ bản,Sản xuất sản phẩm thép từ nguyên liệu thu mua,HOSE,25/12/2006,"73,830,393"
TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất sản phẩm may mặc công nghiệp,HOSE,15/10/2007,"71,360,808"
STK,CTCP Sợi Thế Kỷ,Sản xuất,"Sản xuất sợi, vải",Sản xuất sợi,HOSE,30/09/2015,"70,726,944"
LSS,CTCP Mía Đường Lam Sơn,Sản xuất,Sản xuất thực phẩm,Sản xuất đường và bánh kẹo,HOSE,9/1/2008,"70,000,000"
DHC,CTCP Đông Hải Bến Tre,Sản xuất,Sản xuất giấy,Sản xuất các sản phẩm từ giấy,HOSE,23/07/2009,"69,994,423"
IMP,CTCP Dược phẩm Imexpharm,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HOSE,4/12/2006,"66,705,370"
FMC,CTCP Thực phẩm Sao Ta,Sản xuất,Sản xuất thực phẩm,Sơ chế và đóng gói thủy sản,HOSE,7/12/2006,"65,388,889"
DTL,CTCP Đại Thiên Lộc,Sản xuất,Sản xuất các sản phẩm kim loại cơ bản,Sản xuất sản phẩm thép từ nguyên liệu thu mua,HOSE,4/6/2010,"61,435,604"
TDP,CTCP Thuận Đức,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HOSE,12/10/2020,"60,210,902"
DAG,CTCP Tập đoàn Nhựa Đông Á,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HOSE,8/4/2010,"59,564,112"
DCL,CTCP Dược phẩm Cửu Long,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HOSE,17/09/2008,"58,832,824"
DBD,CTCP Dược - Trang thiết bị Y tế Bình Định (BIDIPHAR),Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HOSE,15/06/2018,"57,612,444"
CAV,CTCP Dây Cáp điện Việt Nam,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",Sản xuất các thiết bị điện và dụng cụ khác,HOSE,8/12/2014,"57,600,000"
MCG,CTCP Năng lượng và Bất động sản MCG,Sản xuất,"Sản xuất thiết bị, máy móc","Sản xuất thiết bị nông nghiệp, xây dựng và khai khoáng",HOSE,24/09/2009,"57,510,000"
BFC,CTCP Phân bón Bình Điền,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",HOSE,7/10/2015,"57,167,993"
KMR,CTCP Mirae,Sản xuất,Sản xuất các sản phẩm dệt,Sản xuất các sản phẩm dệt dùng trong nhà,HOSE,30/06/2008,"56,881,443"
HAP,CTCP Tập đoàn Hapaco,Sản xuất,Sản xuất giấy,Sản xuất các sản phẩm từ giấy,HOSE,4/8/2000,"55,626,621"
NAF,CTCP Nafoods Group,Sản xuất,Sản xuất thực phẩm,Bảo quản rau quả và sản xuất thực phẩm chuyên biệt,HOSE,7/10/2015,"50,564,152"
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Sản xuất,Sản xuất thực phẩm,Sơ chế và đóng gói thủy sản,HOSE,5/9/2007,"50,159,019"
MSH,CTCP May Sông Hồng,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất sản phẩm may mặc công nghiệp,HOSE,28/11/2018,"50,009,400"
FTM,CTCP Đầu tư và Phát triển Đức Quân,Sản xuất,"Sản xuất sợi, vải",Sản xuất sợi,HOSE,6/2/2017,"50,000,000"
THI,CTCP Thiết bị Điện,Sản xuất,"Sản xuất thiết bị, máy móc","Sản xuất thiết bị, máy móc công nghiệp",HOSE,15/06/2017,"48,800,000"
PTB,CTCP Phú Tài,Sản xuất,Sản xuất các sản phẩm gỗ,Sản xuất các sản phẩm gỗ khác,HOSE,22/07/2011,"48,599,441"
SFG,CTCP Phân Bón Miền Nam,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",HOSE,1/12/2014,"47,897,333"
RDP,CTCP Rạng Đông Holding,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HOSE,22/09/2009,"47,640,586"
PAC,CTCP Pin Ắc quy Miền Nam,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",Sản xuất các thiết bị điện và dụng cụ khác,HOSE,12/12/2006,"46,471,707"
DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,HOSE,5/11/2015,"46,005,413"
FCM,CTCP Khoáng sản FECON,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,HOSE,15/05/2013,"45,099,969"
CSV,CTCP Hóa chất Cơ bản Miền Nam,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất hóa chất cơ bản,HOSE,18/03/2015,"44,200,000"
GIL,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất phụ kiện và các sản phẩm may mặc khác,HOSE,2/1/2002,"43,200,000"
DPR,CTCP Cao su Đồng Phú,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất nhựa, cao su tổng hợp, sợi tổng hợp nhân tạo",HOSE,30/11/2007,"43,000,000"
TLD,CTCP Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Sản xuất,Sản xuất các sản phẩm gỗ,"Sản xuất gỗ ốp, ván ép và các sản phẩm gỗ lắp ghép",HOSE,7/12/2017,"42,752,586"
EVE,CTCP Everpia,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất phụ kiện và các sản phẩm may mặc khác,HOSE,17/12/2010,"41,979,773"
TRA,CTCP Traphaco,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HOSE,26/11/2008,"41,453,673"
PLP,CTCP Sản xuất và Công nghệ Nhựa Pha Lê,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất nhựa, cao su tổng hợp, sợi tổng hợp nhân tạo",HOSE,21/08/2017,"40,000,000"
HVX,CTCP Xi măng VICEM Hải Vân,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,HOSE,28/09/2010,"38,525,250"
ADS,CTCP Damsan,Sản xuất,"Sản xuất sợi, vải","Sản xuất sợi, vải thành phẩm",HOSE,29/06/2016,"38,069,450"
VAF,CTCP Phân lân Nung chảy Văn Điển,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",HOSE,23/06/2015,"37,665,348"
